device,phase,run,window,channel,start_s,end_s,rms_mV,mean_mV,std_raw_mV,slope_mV_min
项目腕表,静置,2,末60秒,Ut2,29.569999999999993,89.57,0.40336954770636557,1301.7909493233333,0.6019983442627477,-1.4997143114305946
项目腕表,静置,2,10–20秒,Ut1,10.0,20.0,0.45779689856788397,1503.25233439,0.48681064388428646,0.7503080771479427
项目腕表,静置,2,10–20秒,Ut2,10.0,20.0,0.3444845837553811,1303.00117484,0.34166820613961363,-2.6963995687148787
项目腕表,开机,1,前30秒,Ut1,0.0,30.0,0.49999129103269196,1492.3492685800002,3.0022559018231965,-19.745667382289145
项目腕表,开机,1,前30秒,Ut2,0.0,30.0,0.34443960069162116,1349.79304002,3.843335301163975,-26.20549664937667
项目腕表,开机,1,前60秒,Ut1,0.0,60.0,0.4809340568859964,1489.488550816667,3.6549080675302537,-11.953993388213771
项目腕表,开机,1,前60秒,Ut2,0.0,60.0,0.4140927429267251,1345.0095494433333,5.714368348136344,-19.46425676832794
项目腕表,开机,1,末30秒,Ut1,571.91,601.91,0.5507001860349101,1482.4155937766666,0.8134235833913264,0.5488605275841758
项目腕表,开机,1,末30秒,Ut2,571.91,601.91,0.4867991479569256,1298.1897481266667,0.8115804158541283,-1.7456013101186445
项目腕表,开机,1,末60秒,Ut1,541.91,601.91,0.7535141690575534,1482.2566479216664,0.9511624875999576,0.8902512898494493
项目腕表,开机,1,末60秒,Ut2,541.91,601.91,0.4223224192801595,1298.9603550833333,1.169157746154087,-3.071441594477364
项目腕表,开机,1,10–20秒,Ut1,10.0,20.0,0.5107229883819612,1491.65550261,0.9772854904011662,-17.131142138217907
项目腕表,开机,1,10–20秒,Ut2,10.0,20.0,0.32263283088295386,1349.30267316,1.2002836218129507,-23.92137252514411
项目腕表,开机,2,前30秒,Ut1,0.0,30.0,0.8844310443564507,1512.0634716000002,15.304608235205329,-23.325613248105196
项目腕表,开机,2,前30秒,Ut2,0.0,30.0,0.3929956842301286,1355.2083079166666,4.902596958614884,-33.16071340008501
项目腕表,开机,2,前60秒,Ut1,0.0,60.0,0.861131762184572,1509.0737280249998,11.258475188802185,-12.604769481379373
项目腕表,开机,2,前60秒,Ut2,0.0,60.0,0.40310210804326,1349.5375569633331,6.877304347592636,-23.28148245600581
项目腕表,开机,2,末30秒,Ut1,591.43,621.43,0.43861600404899154,1502.9255416433334,0.47146841310214477,0.28918828502501764
项目腕表,开机,2,末30秒,Ut2,591.43,621.43,0.5012077994612294,1304.5153810266665,0.5920137582024954,-1.9846011666738652
项目腕表,开机,2,末60秒,Ut1,561.43,621.43,0.47658212221977286,1502.86515535,0.5100797008017888,0.17622487932785755
项目腕表,开机,2,末60秒,Ut2,561.43,621.43,0.4865822583346441,1304.9937185049998,0.7525078854939906,-1.916841352126085
项目腕表,开机,2,10–20秒,Ut1,10.0,20.0,0.87443693994765,1511.1418154,1.3661865794810764,-21.21801138320474
项目腕表,开机,2,10–20秒,Ut2,10.0,20.0,0.37687086522008617,1354.32342538,1.362834069385159,-27.21277931582558
