dataset,channel,f_Hz,psd_mV2_Hz
修订前,Ut1,22.3,0.0007478920678587341
修订前,Ut1,22.400000000000002,0.0007334935406706476
修订前,Ut1,22.5,0.0014729349757050874
修订前,Ut1,22.6,0.0026011847723311815
修订前,Ut1,22.700000000000003,0.0020635590552176954
修订前,Ut1,22.8,0.0009703949016236626
修订前,Ut1,22.900000000000002,0.0006984201462810794
修订前,Ut1,23.0,0.0015589762000896117
修订前,Ut1,23.1,0.0011111959787995203
修订前,Ut1,23.200000000000003,0.0010248596945762406
修订前,Ut1,23.3,0.002756383060747085
修订前,Ut1,23.400000000000002,0.003078167809579443
修订前,Ut1,23.5,0.0014728779135155237
修订前,Ut1,23.6,0.0015605519112527465
修订前,Ut1,23.700000000000003,0.0010704889178748398
修订前,Ut1,23.8,0.00047510059020362084
修订前,Ut1,23.900000000000002,0.000856499559502134
修订前,Ut1,24.0,0.0021162076259392893
修订前,Ut1,24.1,0.00151838815654984
修订前,Ut1,24.200000000000003,0.0009658265013081435
修订前,Ut1,24.3,0.0017340487721658172
修订前,Ut1,24.400000000000002,0.0013825769062374494
修订前,Ut1,24.5,0.0015227321943020512
修订前,Ut1,24.6,0.0011944709615121184
修订前,Ut1,24.700000000000003,0.0007842675734782877
修订前,Ut1,24.8,0.0009564217165508082
修订前,Ut1,24.900000000000002,0.0006552256402083688
修订前,Ut1,25.0,0.0010041529476429605
修订前,Ut1,25.1,0.007154964980250772
修订前,Ut1,25.200000000000003,0.04819420872673174
修订前,Ut1,25.3,0.026041805530389515
修订前,Ut1,25.400000000000002,0.0017059725063926156
修订前,Ut1,25.5,0.0008263299889556488
修订前,Ut1,25.6,0.002098689987667168
修订前,Ut1,25.700000000000003,0.0026149538918917217
修订前,Ut1,25.8,0.0005411895013585195
修订前,Ut1,25.900000000000002,0.0008374351058663518
修订前,Ut1,26.0,0.0013123508393775392
修订前,Ut1,26.1,0.0019285891674189056
修订前,Ut1,26.200000000000003,0.0014641495957153127
修订前,Ut1,26.3,0.0006304255863888606
修订前,Ut1,26.400000000000002,0.0005228176197838703
修订前,Ut1,26.5,0.0020946784156147175
修订前,Ut1,26.6,0.03200369429392276
修订前,Ut1,26.700000000000003,0.043625846743061254
修订前,Ut1,26.8,0.004696896182167791
修订前,Ut1,26.900000000000002,0.0009980928770244113
修订前,Ut1,27.0,0.0021163324399542725
修订前,Ut1,27.1,0.001619390254740899
修订前,Ut1,27.200000000000003,0.0008843314025201147
修订前,Ut1,27.3,0.00073615353012107
修订前,Ut1,27.400000000000002,0.000495508241126996
修订前,Ut1,27.5,0.0007875404301347755
修订前,Ut1,27.6,0.001960264079030929
修订前,Ut1,27.700000000000003,0.0019673445700080544
修订前,Ut1,27.8,0.0010624627767930519
修订前,Ut1,27.900000000000002,0.0012914383350203342
修订前,Ut1,28.0,0.0029651813243064973
修订前,Ut1,28.1,0.001991329334472509
修订前,Ut1,28.200000000000003,0.00105071583813836
修订前,Ut1,28.3,0.001409623317006146
修订前,Ut1,28.400000000000002,0.0014471327796365954
修订前,Ut1,28.5,0.0008186189039724267
修订前,Ut1,28.6,0.001473015393426997
修订前,Ut1,28.700000000000003,0.001960989989258932
修订前,Ut1,28.8,0.0008374725102963291
修订前,Ut1,28.900000000000002,0.0009045990437859645
修订前,Ut1,29.0,0.002005345215456415
修订前,Ut1,29.1,0.001457177508387602
修订前,Ut1,29.200000000000003,0.0008201243065060313
修订前,Ut1,29.3,0.0015026022313887955
修订前,Ut1,29.400000000000002,0.0007054841082803144
修订前,Ut1,29.5,0.00045366870493848737
修订前,Ut1,29.6,0.0012569940421783695
修订前,Ut1,29.700000000000003,0.0019220412448122822
修订前,Ut1,29.8,0.0007963516724516596
修订前,Ut1,29.900000000000002,0.0008293562092353776
修订前,Ut1,30.0,0.0013283322983131793
修订前,Ut1,30.1,0.0009926180322986766
修订前,Ut1,30.200000000000003,0.00041241817764585284
修订前,Ut1,30.3,0.0003638651961291551
