dataset,channel,start_mcu_s,mean_mV,sd_raw_mV,slope_mV_min,rms_mV,rms_20,rms_40,rms_33,rms_05_5,peaks_Hz
修订前开机,Ut1,285.125,1501.6674553733335,0.8015774787437255,-0.04665029057045178,0.7643795110201075,0.1984966227558009,0.21867450921281337,0.5999656624433689,0.08266975294564047,33.3;40.0;20.0;26.7;6.7;25.2;8.1;41.4
修订前开机,Ut2,285.125,1317.6311495166667,0.6169557752938389,-3.288428648191943,0.29188930630462595,0.14020613719417782,0.13325363711475038,0.1291938134243423,0.03853566622959704,33.3;20.0;40.0;26.7;6.7;13.3;46.7;17.1
修订前开机,Ut1,315.125,1501.6785434933333,0.7977119839268899,0.3459372448634593,0.7504177172620957,0.17085979902273213,0.1972929691397734,0.6231023162401572,0.08041845486780393,33.3;6.7;26.7;40.0;20.0;25.2;8.1;41.4
修订前开机,Ut2,315.125,1316.0782367133334,0.5414859966891774,-2.8104348964606967,0.31375922758332514,0.12756193117993564,0.13104805192671432,0.18827163260489507,0.05040207175711018,33.3;20.1;26.7;6.7;40.1;19.9;40.3;13.3
修订前开机,Ut1,345.125,1501.5546930333333,0.5632796335647228,-0.28622248727008,0.4884282289375351,0.14989981879472147,0.16830653738337328,0.3648002791600183,0.0716629208890673,33.3;40.0;20.0;25.2;40.3;19.7;13.3;39.7
修订前开机,Ut2,345.125,1314.67389435,0.6519459946692148,-2.8079368667000795,0.4425080556214582,0.14231261862008762,0.14871940357374075,0.3158790373390582,0.07941991294527576,33.3;40.0;20.0;26.7;6.7;39.7;40.3;20.3
修订前开机,Ut1,375.125,1501.5294394333332,0.44825545876995015,0.34270870151380245,0.38050534547569553,0.16151775175657,0.15645501055958963,0.14549092213146794,0.08910584455262689,33.3;26.7;6.7;13.3;20.0;40.0;46.7;39.6
修订前开机,Ut2,375.125,1313.2388811466667,0.6149453515093829,-2.777299536378108,0.3838509015990092,0.15103420868250864,0.1467597317424334,0.2609339951882681,0.07795224177584952,33.3;20.0;40.0;39.7;20.3;19.7;26.7;40.3
修订前开机,Ut1,405.125,1501.6913606766668,0.5410069308999699,0.3446959794847667,0.48950463301815345,0.16784799462216268,0.16624359210072298,0.3009577889273165,0.16334173899313456,33.3;6.7;26.7;20.0;19.8;39.8;40.2;20.4
修订前开机,Ut2,405.125,1311.8247478233332,0.49123965827571825,-2.5202499638577294,0.23899647908899044,0.11539577333878254,0.11374191009648199,0.059634937546514874,0.10814203421736202,33.3;20.0;13.3;26.7;20.2;40.0;19.6;6.7
修订前开机,Ut1,435.125,1501.90704409,0.6195128662809233,0.5866325492457302,0.5743938551783946,0.1670462705213166,0.17990858146391794,0.4101964930081728,0.1672369021247684,33.3;0.6;6.7;26.7;40.0;20.0;40.5;8.1
修订前开机,Ut2,435.125,1310.5815372266666,0.4795358148989939,-2.386225660847514,0.2844691102761665,0.12716103364450146,0.12020755868227898,0.06984670170440987,0.14220551887085225,0.6;6.7;26.7;13.3;33.3;46.7;20.0;20.2
修订前开机,Ut1,465.125,1502.1341707566667,0.71828348359684,0.8124427644661413,0.6717564026313746,0.1703937668153797,0.19239286576943807,0.5006689123124503,0.18353244124361054,33.3;6.7;26.7;40.0;20.0;8.1;25.2;41.4
修订前开机,Ut2,465.125,1309.3382772633333,0.5140019463030802,-2.504353195582935,0.30478620027859266,0.13282974217363933,0.12722026801623648,0.09358910370303546,0.14733763598663854,33.3;6.7;26.7;13.3;46.7;20.0;19.5;20.2
修订前开机,Ut1,495.125,1502.460785276667,0.8264391513615212,0.4934741621749329,0.8059970974496665,0.16860044755683493,0.19534607765561673,0.6613402564139154,0.20060555882177275,33.3;0.7;25.2;8.1;26.7;6.7;41.4;40.0
修订前开机,Ut2,495.125,1308.1989795533334,0.514169312344279,-2.126054014229725,0.35823311717558637,0.12632842364885838,0.13925360326802133,0.20079864565997693,0.1640818410246543,33.3;0.7;26.7;39.7;40.0;6.7;40.3;40.6
修订前开机,Ut1,525.125,1502.6557670266666,0.72893667552456,0.33699944496049894,0.7101566281876145,0.1643553897134936,0.18085700363663845,0.5887329547050218,0.21384354770752062,33.3;0.7;25.2;8.1;41.4;20.0;39.4;40.3
修订前开机,Ut2,525.125,1307.2021487433333,0.5388117506212334,-2.110182607388916,0.4099316007069249,0.1294182907602043,0.13662582263866588,0.2606095224561891,0.17667710472292136,33.3;0.7;40.0;26.7;6.7;20.3;39.7;19.7
修订前开机,Ut1,555.125,1502.7864333333332,0.6757988466315348,0.5447935894637912,0.6492318326679827,0.14719498696065572,0.1641583450460333,0.5351136912368367,0.20556289132951036,33.3;0.5;0.8;25.2;41.4;8.1;20.0;40.6
修订前开机,Ut2,555.125,1306.1783347333335,0.559468789530884,-2.0355743980414274,0.44773049241512514,0.14081339372998042,0.15624438876190924,0.29051040114191795,0.1884776349457317,33.3;0.5;0.8;40.0;26.7;6.7;39.7;19.7
修订前开机,Ut1,585.125,1502.8029378299998,0.5000452010931696,0.21865139929353772,0.4569204633316842,0.1542722652596958,0.17189818973794965,0.2156375775536907,0.22086994232447935,33.3;0.5;0.8;40.0;13.3;26.7;6.7;46.7
修订前开机,Ut2,585.125,1305.19994073,0.5968060787675129,-2.0300853464844417,0.49862206349094285,0.15008062733278274,0.157027187713875,0.33203311938881275,0.20238292050727716,33.3;0.5;0.8;40.0;26.7;6.7;20.0;40.3
