time_s,Ut1_raw,Ut1_median3,Ut1_raw_bp,Ut1_median3_bp,Ut2_raw,Ut2_median3,Ut2_raw_bp,Ut2_median3_bp
77.52,1997.2229,1996.76514,0.1301407667895862,0.2936966203213796,1622.61963,1622.46704,0.4700574965315932,0.33436593347287347
77.53,1997.98584,1997.2229,0.13423335633295808,0.30056355685779085,1622.23816,1622.46704,0.4748560333357934,0.33076558042177884
77.54,1997.07031,1997.2229,0.14551163743055684,0.3047261341378296,1622.61963,1622.61963,0.4692311290488019,0.32618468538643036
77.55,1996.07849,1997.07031,0.16342995169756847,0.30607235818626377,1622.61963,1622.61963,0.4523969117002016,0.3204178643549196
77.56,1999.43542,1997.07031,0.18699424430439704,0.3047738013697688,1621.62781,1622.61963,0.4241028218358431,0.31331927954626043
77.57,1996.91772,1996.91772,0.21486200190125126,0.30124492926068264,1622.69592,1622.61963,0.384638390171019,0.30482134366864444
77.58,1996.91772,1996.91772,0.24545148260863114,0.2960681055006266,1622.61963,1622.61963,0.33482465901215674,0.2949431888023954
77.59,1998.82507,1996.91772,0.27704669789922215,0.28989812584911046,1621.55151,1622.61963,0.27599652500016236,0.28378606590310007
77.6,1996.07849,1996.91772,0.3078923288810332,0.283363516517627,1622.46704,1622.46704,0.20997612388385645,0.27151605223617814
77.61,1996.91772,1996.91772,0.33628065487223213,0.2769812034375712,1622.46704,1622.46704,0.1390337194962003,0.25833767498028903
77.62,1999.35913,1996.91772,0.36063547716870037,0.27109743439024314,1621.55151,1622.46704,0.06582960332016324,0.24446444751769236
77.63,1996.99402,1996.99402,0.3795944270519189,0.2658622280741634,1622.54333,1622.46704,-0.006671818593845524,0.23009300150968942
77.64,1997.14661,1997.14661,0.39208440901728525,0.26123818476812355,1622.54333,1622.54333,-0.0753250747088966,0.21538613601508771
77.65,1998.82507,1997.14661,0.3973817428682026,0.2570382649554256,1621.93298,1622.54333,-0.13697054786521756,0.20046728262573843
77.66,1996.91772,1997.14661,0.3951510061351803,0.252982419210216,1622.54333,1622.54333,-0.18864526270256887,0.1854258121689687
77.67,1997.14661,1997.14661,0.38546057601300315,0.24876091749869722,1622.46704,1622.46704,-0.2278257731103473,0.17033038411728219
77.68,1999.43542,1997.14661,0.36877508007152887,0.2440931554278598,1618.88123,1622.46704,-0.25267600685618524,0.15524660181539246
77.69,1996.99402,1997.14661,0.345925618901133,0.2387737880061062,1622.54333,1622.46704,-0.2622595271297853,0.14025524176718002
77.7,1996.0022,1996.99402,0.3180595410053025,0.232702022280443,1622.61963,1622.54333,-0.25667317706329273,0.12546756553932276
77.71,1999.58801,1996.99402,0.2865739984947051,0.22589373011588798,1620.55969,1622.54333,-0.2370728390306952,0.11103433720592965
77.72,1997.07031,1997.07031,0.25303899433872956,0.21847878449071528,1622.46704,1622.46704,-0.20558557241686926,0.09714549252820709
77.73,1997.2229,1997.2229,0.21911296586592044,0.21068689831099818,1622.46704,1622.46704,-0.16512290650020262,0.08401854366684552
77.74,1999.13025,1997.2229,0.1864503232259938,0.20282432687476992,1621.55151,1622.46704,-0.11912215016337407,0.07187586233129473
77.75,1996.0022,1997.2229,0.15660123900048095,0.19524244597406643,1622.54333,1622.46704,-0.07124822097821304,0.06091336866483543
